Parttype (category),Parttype URL (category),Make,Make URL,Model,Model URL,Series,Year,Engine cc,Type,PartNumber
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EAMBF,01/12-08/8,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EAMBF,02/2-08/8,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8KCAB,08/3-,,,"
EIP169"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8KCDH,08/8-,,,"
EIP169"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EALT,01/6-09/2,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EALT,02/2-09/2,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EALT,05/2-09/2,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8KCDN,11/2-,,,"
EIP169"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EBGBF,05/2-09/2,,,"EIP139
EIP132"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8KCDNF,09/3-,,,"EIP176
EIP169"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EALT,05/2-09/2,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8KCDN,11/2-,,,"
EIP169"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EBWEF,05/2-09/2,,,"EIP139
EIP132"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8KCDNF,09/3-,,,"EIP176
EIP169"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A4,,8DAGA 8DAPS,99/6-01/6,,,"EIP024
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8DAGA 8DAPS,99/6-01/6,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EBDV,01/12-,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8DAGAF 8DAPSF,95-01/6,,,"EIP024
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8EBDV,02/09-,,,"EIP024
EIP025"
