partnumber,VehicleRawProperties,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,Brand,UvdbFromYearID,UvdbToYearID,Action,,,,,,,,,,,,,,,,
SPPCF35036B,"{""VW Golf Mk 6 (5K)"":""Hatchback (4Motion ) 2.0TDiWill only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,66,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF33036B,"{""VW Golf Mk 6 (5K)"":""Hatchback (4Motion ) 2.0TFSi RWill only fit models fitted with 55mm front struts (not 50mm)., 2008-2012 (5K)""}",0,,67,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF38036B,"{""VW Golf Plus Mk 1"":""MPV 1.41.4FSi,1.6,1.6FSi,1.4TSi,2.0FSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2009 (1K)""}",0,,68,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF39036B,"{""VW Golf Plus Mk 1"":""MPV 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2004-2009 (1K)""}",0,,69,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF40036B,"{""VW Golf Plus Mk 2"":""MPV 1.41.4FSi,1.6,1.6FSi,1.4TSi,2.0FSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2009-2014 (1K)""}",0,,70,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF41036B,"{""VW Golf Plus Mk 2"":""MPV 1.6TDi1.9TDi,2.0TDi,Will only fit models fitted with 55mm front struts (not 50mm)., 2009-2014 (1K)""}",0,,71,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF43036B,"{""VW Jetta Mk 5 (1K)"":""Estate (2WD) 1.4TSi1.6FSi,1.8TSi,2.0FSi,2.0TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2010 (1K)""}",0,,72,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF42036B,"{""VW Jetta Mk 5 (1K)"":""Estate (2WD) 1.6TDi1.9TDi,2.0TDi,3.2V6,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2010 (1K)""}",0,,73,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF43036B,"{""VW Jetta Mk 5 (1K)"":""Saloon (2WD) 1.4TSi1.6FSi,1.8TSi,2.0FSi,2.0TSi,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2010 (1K)""}",0,,74,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
SPPCF42036B,"{""VW Jetta Mk 5 (1K)"":""Saloon (2WD) 1.6TDi1.9TDi,2.0TDi,3.2V6,Will only fit models fitted with 55mm front struts (not 50mm)., 2005-2010 (1K)""}",0,,75,,United Kingdom,Stanced Uk,,,ADD,,,,,,,,,,,,,,,,
