partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
470020,OPEL Insignia 1.5 17-,OPEL Insignia 1.5 ,,,,2017,,,,,,,,,"{""make"": ""OPEL"", ""model"": ""Insignia"", ""engine"": ""1.5""}","{""make"": ""OPEL"", ""model"": ""Insignia"", ""engine"": ""1.5""}"
470021,JEEP Wrangler 3.6 06-,JEEP Wrangler 3.6 ,,,,2006,,,,,,,,,"{""make"": ""JEEP"", ""model"": ""Wrangler"", ""engine"": ""3.6""}","{""make"": ""JEEP"", ""model"": ""Wrangler"", ""engine"": ""3.6""}"
470022,Audi A4 1995-,Audi A4 ,,,,1995,,,,,,,,,"{""make"": ""Audi"", ""model"": ""A4"", ""engine"": """"}","{""make"": ""Audi"", ""model"": ""A4"", ""engine"": """"}"
470023,DACIA Duster 03/2010>,DACIA Duster 03/2010>,,,,,,,,,,,,,"{""make"": ""DACIA"", ""model"": ""Duster"", ""engine"": ""03/2010>""}","{""make"": ""DACIA"", ""model"": ""Duster"", ""engine"": ""03/2010>""}"
470024,HONDA HRV 1.5 14-,HONDA HRV 1.5 ,,,,2014,,,,,,,,,"{""make"": ""HONDA"", ""model"": ""HRV"", ""engine"": ""1.5""}","{""make"": ""HONDA"", ""model"": ""HRV"", ""engine"": ""1.5""}"
470025,VOLVO XC90 2.0D 15-,VOLVO XC90 2.0D ,,,,2015,,,,,,,,,"{""make"": ""VOLVO"", ""model"": ""XC90"", ""engine"": ""2.0D""}","{""make"": ""VOLVO"", ""model"": ""XC90"", ""engine"": ""2.0D""}"
470026,Jaduar F-Pace 2015-,Jaduar F-Pace ,,,,2015,,,,,,,,,"{""make"": ""Jaduar"", ""model"": ""F-Pace"", ""engine"": """"}","{""make"": ""Jaduar"", ""model"": ""F-Pace"", ""engine"": """"}"
470027,Jaguar XE 2015-,Jaguar XE ,,,,2015,,,,,,,,,"{""make"": ""Jaguar"", ""model"": ""XE"", ""engine"": """"}","{""make"": ""Jaguar"", ""model"": ""XE"", ""engine"": """"}"
470028,LandRover Discovery 2.7D 17-,LandRover Discovery 2.7D ,,,,2017,,,,,,,,,"{""make"": ""LandRover"", ""model"": ""Discovery"", ""engine"": ""2.7D""}","{""make"": ""LandRover"", ""model"": ""Discovery"", ""engine"": ""2.7D""}"
470029,HYUNDAI SantaFe 2.2D 18-,HYUNDAI SantaFe 2.2D ,,,,2018,,,,,,,,,"{""make"": ""HYUNDAI"", ""model"": ""SantaFe"", ""engine"": ""2.2D""}","{""make"": ""HYUNDAI"", ""model"": ""SantaFe"", ""engine"": ""2.2D""}"
