partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
390070,TOYOTA C-HR 17-,TOYOTA C-HR ,,,,2017,,,,,,,,,"{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}","{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}"
390072,TOYOTA YARIS 11-,TOYOTA YARIS ,,,,2011,,,,,,,,,"{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}","{""make"": ""T"", ""model"": ""O"", ""engine"": ""Y""}"
390073,TESLA 3 17-,TESLA 3 ,,,,2017,,,,,,,,,"{""make"": ""T"", ""model"": ""E"", ""engine"": ""S""}","{""make"": ""T"", ""model"": ""E"", ""engine"": ""S""}"
47000,FORD Mondeo 1.8D 97-,FORD Mondeo 1.8D ,,,,1997,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
470001,Hyundai i10 1.1 2008-,Hyundai i10 1.1 ,,,,2008,,,,,,,,,"{""make"": ""H"", ""model"": ""y"", ""engine"": ""u""}","{""make"": ""H"", ""model"": ""y"", ""engine"": ""u""}"
470002,Hyundai ix35 2.0/2.4 10-,Hyundai ix35 2.0/2.4 ,,,,2010,,,,,,,,,"{""make"": ""H"", ""model"": ""y"", ""engine"": ""u""}","{""make"": ""H"", ""model"": ""y"", ""engine"": ""u""}"
470003,"BMW 118 1,5 2011-","BMW 118 1,5 ",,,,2011,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
470004,KIA CEED 1.4/1.6 2008-2012,KIA CEED 1.4/1.6 2012,,,,2008,,,,,,,,,"{""make"": ""K"", ""model"": ""I"", ""engine"": ""A""}","{""make"": ""K"", ""model"": ""I"", ""engine"": ""A""}"
470005,BMW X3 2.0D 2011-,BMW X3 2.0D ,,,,2011,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
470006,Hyundai Getz 1.1/1.3 2002-,Hyundai Getz 1.1/1.3 ,,,,2002,,,,,,,,,"{""make"": ""H"", ""model"": ""y"", ""engine"": ""u""}","{""make"": ""H"", ""model"": ""y"", ""engine"": ""u""}"
470007,Mazda 6 13-,Mazda 6 ,,,,2013,,,,,,,,,"{""make"": ""M"", ""model"": ""a"", ""engine"": ""z""}","{""make"": ""M"", ""model"": ""a"", ""engine"": ""z""}"
470008,FORD Focus 1.0/1.5 18-,FORD Focus 1.0/1.5 ,,,,2018,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
470009,OPEL Astra 1.4 15-,OPEL Astra 1.4 ,,,,2015,,,,,,,,,"{""make"": ""O"", ""model"": ""P"", ""engine"": ""E""}","{""make"": ""O"", ""model"": ""P"", ""engine"": ""E""}"
470010,VW POLO/SEAT LEON 1.0-1.6 2012-,VW POLO/SEAT LEON 1.0-1.6 ,,,,2012,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
470011,VW Golf 1.6D 13-,VW Golf 1.6D ,,,,2013,,,,,,,,,"{""make"": ""V"", ""model"": ""W"", ""engine"": """"}","{""make"": ""V"", ""model"": ""W"", ""engine"": """"}"
470012,DACIA LOGAN\RENAULT CLIO 0.9-1.6 2012,DACIA LOGAN\RENAULT CLIO 0.9-1.6,,,,,,,,,,,,,"{""make"": ""D"", ""model"": ""A"", ""engine"": ""C""}","{""make"": ""D"", ""model"": ""A"", ""engine"": ""C""}"
470013,RENAULT Master 2.3D 10-,RENAULT Master 2.3D ,,,,2010,,,,,,,,,"{""make"": ""R"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""R"", ""model"": ""E"", ""engine"": ""N""}"
470014,ALFA-ROMEO Gulietta 1.6/2.0D 2012-,ALFA-ROMEO Gulietta 1.6/2.0D ,,,,2012,,,,,,,,,"{""make"": ""A"", ""model"": ""L"", ""engine"": ""F""}","{""make"": ""A"", ""model"": ""L"", ""engine"": ""F""}"
470015,AUDI Q5 3.0D 09-,AUDI Q5 3.0D ,,,,2009,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
470016,Honda Jazz 2008-,Honda Jazz ,,,,2008,,,,,,,,,"{""make"": ""H"", ""model"": ""o"", ""engine"": ""n""}","{""make"": ""H"", ""model"": ""o"", ""engine"": ""n""}"
470017,RENAULT Megane 16-,RENAULT Megane ,,,,2016,,,,,,,,,"{""make"": ""R"", ""model"": ""E"", ""engine"": ""N""}","{""make"": ""R"", ""model"": ""E"", ""engine"": ""N""}"
470018,FIAT Tipo 16-,FIAT Tipo ,,,,2016,,,,,,,,,"{""make"": ""F"", ""model"": ""I"", ""engine"": ""A""}","{""make"": ""F"", ""model"": ""I"", ""engine"": ""A""}"
470019,Mercedes S-callse 2013-,Mercedes S-callse ,,,,2013,,,,,,,,,"{""make"": ""M"", ""model"": ""e"", ""engine"": ""r""}","{""make"": ""M"", ""model"": ""e"", ""engine"": ""r""}"
47002,FORD Mondeo 1.8 97-,FORD Mondeo 1.8 ,,,,1997,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
470020,OPEL Insignia 1.5 17-,OPEL Insignia 1.5 ,,,,2017,,,,,,,,,"{""make"": ""O"", ""model"": ""P"", ""engine"": ""E""}","{""make"": ""O"", ""model"": ""P"", ""engine"": ""E""}"
